End Time_D&T,Volume,Cost,Price,Trade Hours Duration
2019-08-06,197.0,24402.65,40.603529411764704,1.0
2019-08-07,-3491.0,-76097.18,21.950444444444443,1.0
2019-08-08,-4000.0,-91550.5,22.332666666666668,1.0
2019-08-09,-9340.0,-146146.17,15.422363636363636,1.0
2019-08-10,-9548.0,-91272.12,8.953818181818182,1.0
2019-08-11,-27068.0,288497.55,-1.0991346153846153,1.0
2019-08-12,-4456.0,30743.96,32.20027777777778,1.0
2019-08-13,1461.0,84709.28,57.75047619047619,1.0
2019-08-14,1000.0,63077.850000000006,63.3575,1.0
2019-08-15,-4900.0,-65704.5,13.491818181818182,1.0
2019-08-16,-7430.0,-101960.61,24.530724637681157,1.0
2019-08-17,-31910.0,-399048.33,12.929677419354839,1.0
2019-08-18,-31112.0,-292086.85,9.770693069306931,1.0742574257425743
2019-08-19,-16560.0,-270045.58,16.348636363636363,1.0
2019-08-20,-5800.0,-112753.35,26.63774647887324,1.0
2019-08-21,6163.0,363653.31,59.69039215686274,1.0
2019-08-22,-5750.0,-109146.13,25.48068181818182,1.0
2019-08-23,-9709.0,-228521.26,22.985777777777777,1.0
2019-08-24,-4600.0,-107874.0,23.52346153846154,1.0
2019-08-25,0.0,0.0,,
2019-08-26,3550.0,206138.83,61.528387096774196,1.0
2019-08-27,10300.0,689295.99,66.10135135135135,1.0
2019-08-28,2199.0,123605.65,57.0616,1.0
2019-08-29,900.0,45257.0,49.666,1.0
2019-08-30,3007.0,121212.79000000001,41.32138888888889,1.0
2019-08-31,-5400.0,-107050.03,19.85181818181818,1.0
2019-09-01,-26126.0,-306615.97,12.736813725490196,1.0
2019-09-02,6394.0,328524.16,47.006,1.0
2019-09-03,-1095.0,22855.79,35.97244897959184,1.0
2019-09-04,7253.0,283080.75,39.25076923076923,1.0
2019-09-05,-3119.0,-29942.0,8.001363636363637,1.0
2019-09-06,5380.0,150261.3,28.259,1.0
2019-09-07,-3740.0,-60946.6,24.59,1.0
2019-09-08,505.0,30461.35,32.665,1.0
2019-09-09,3950.0,257506.36,70.15511627906977,1.0
2019-09-10,250.0,14451.3,57.93666666666667,1.0
2019-09-11,4498.0,165849.8,36.88681818181818,1.0
2019-09-12,0.0,33366.479999999996,32.71939393939394,1.0
2019-09-13,-6920.0,-145019.9,20.664102564102564,1.0
2019-09-14,-5300.0,-130954.45,24.8327027027027,1.0
2019-09-15,-25107.0,364478.12,-3.595844155844156,1.0
2019-09-16,2200.0,126221.3,56.304375,1.0
2019-09-17,2000.0,99734.70999999999,50.00684210526316,1.0
2019-09-18,0.0,0.0,,
2019-09-19,2650.0,145271.85,54.59791666666666,1.0
2019-09-20,-170.0,44339.28,32.913448275862066,1.0
2019-09-21,-28592.0,517985.76,2.545367647058823,1.0
2019-09-22,-15130.0,-163408.63,12.764324324324324,1.0
2019-09-23,1700.0,92664.85,53.93416666666667,1.0
2019-09-24,2700.0,144552.41,54.115,1.0
2019-09-25,1258.0,65281.18,51.34866666666667,1.0
2019-09-26,-1260.0,-29218.059999999998,21.635555555555555,1.0
2019-09-27,-5623.0,-57031.49,26.99551724137931,1.0
2019-09-28,-13000.0,-148891.45,10.719803921568628,1.0
2019-09-29,-11610.0,-100164.2,9.27328125,1.0
2019-09-30,-9195.0,-34081.25,19.217021276595744,1.0
2019-10-01,-4799.0,203112.75,17.6364,1.0
2019-10-02,-250.0,307613.77,26.645697674418606,1.0
2019-10-03,1600.0,66955.52,41.388333333333335,1.0
2019-10-04,-1271.0,61763.69,29.652142857142856,1.0
2019-10-05,-5600.0,49129.2,9.846190476190477,1.0
2019-10-06,-14482.0,-270738.57,18.600675675675678,1.0
2019-10-07,8886.0,539996.26,58.405490196078425,1.0
2019-10-08,-2000.0,-24960.0,27.926666666666666,1.0
2019-10-09,3070.0,129566.13,36.669666666666664,1.0
2019-10-10,23850.0,930187.47,38.64156462585034,1.0
2019-10-11,-3631.0,52915.94,-13.117297297297297,1.0
2019-10-12,0.0,0.0,,
2019-10-13,-1200.0,-15882.75,13.875384615384615,1.0
2019-10-14,1000.0,59700.87,60.882222222222225,1.0
2019-10-15,6888.0,437453.7,62.08822580645161,1.0
2019-10-16,500.0,30975.0,61.95,1.0
2019-10-17,2550.0,148576.47,51.59030303030303,1.0
2019-10-18,-2250.0,-45317.15,19.68225,1.0
2019-10-19,-2100.0,-39580.0,18.699411764705882,1.0
2019-10-20,1800.0,67775.38,38.941818181818185,1.0
2019-10-21,-1250.0,41744.03,44.81294117647059,1.0
2019-10-22,2700.0,155416.84,56.62947368421053,1.0
2019-10-23,0.0,0.0,,
2019-10-24,2000.0,108358.0,53.52,1.0
2019-10-25,-500.0,-9214.4,18.722,1.0
2019-10-26,-7100.0,-65047.72,17.720746268656715,1.0
2019-10-27,-3000.0,-44556.5,15.676666666666668,1.0
2019-10-28,3313.0,259923.18,41.59704918032787,1.0
2019-10-29,3817.0,267891.3,75.79,1.0
2019-10-30,1500.0,58286.09,39.221666666666664,1.0
2019-10-31,600.0,29149.0,48.724000000000004,1.0
2019-11-01,700.0,27805.41,38.727999999999994,1.0
2019-11-02,0.0,0.0,,
2019-11-03,-3350.0,-41469.15,12.624473684210525,1.0
2019-11-04,6061.5,329735.125,56.44641025641025,1.0
2019-11-05,1000.0,55208.82,53.205000000000005,1.0
2019-11-06,900.0,82385.16,91.06333333333333,1.0
2019-11-07,2500.0,135834.72,54.018,1.0
2019-11-08,950.0,78815.0,87.42642857142857,1.0
2019-11-09,0.0,0.0,,
2019-11-10,1500.0,60187.7,39.50941176470588,1.0
2019-11-11,1400.0,81054.51,59.32571428571429,1.0
2019-11-12,532.0,42981.479999999996,78.11,1.0
2019-11-13,200.0,18125.0,88.8,1.0
2019-11-14,0.0,0.0,,
2019-11-15,2126.0,144886.06,70.04928571428572,1.0
2019-11-16,1000.0,47632.0,47.96,1.0
2019-11-17,500.0,24375.15,48.263999999999996,1.0
2019-11-18,1975.0,130419.31,69.97684210526316,1.0
2019-11-19,2120.0,133281.4,57.18304347826087,1.0
2019-11-20,5000.0,223387.75,44.6,1.0
2019-11-21,4730.0,256587.74,53.9036,1.0
2019-11-22,2600.0,138480.83000000002,54.13117647058824,1.0
2019-11-23,0.0,0.0,,
2019-11-24,0.0,0.0,,
2019-11-25,1100.0,65461.7,59.433846153846154,1.0
2019-11-26,1150.0,74969.5,61.91571428571428,1.0
2019-11-27,0.0,0.0,,
2019-11-28,815.0,51277.47,60.246,1.0
2019-11-29,0.0,0.0,,
2019-11-30,0.0,0.0,,
2019-12-01,0.0,0.0,,
2019-12-02,1471.0,104876.97,78.70923076923077,1.0
2019-12-03,4177.0,316004.7,75.06594594594594,1.0
2019-12-04,10226.0,1307066.76,133.63265957446808,1.0
2019-12-05,150.0,7884.0,52.56,1.0
2019-12-06,0.0,0.0,,
2019-12-07,1150.0,57608.9,53.105000000000004,1.0
2019-12-08,-2681.0,297791.88,-124.59863636363637,1.0
2019-12-09,2500.0,89706.65,36.26619047619048,1.0
2019-12-10,7022.0,382227.74,54.22034482758621,1.0
2019-12-11,2540.0,108587.04000000001,42.83,1.0
2019-12-12,900.0,51331.42,58.0,1.0
2019-12-13,600.0,25183.06,43.358,1.0
2019-12-14,1000.0,42781.5,42.436,1.0
2019-12-15,800.0,33150.5,42.60875,1.0
2019-12-16,800.0,40377.88,50.64333333333334,1.0
2019-12-17,0.0,0.0,,
2019-12-18,2227.0,163039.87,72.14714285714285,1.0
2019-12-19,-3900.0,-33610.79,0.6739534883720931,1.0
2019-12-20,0.0,0.0,,
2019-12-21,0.0,0.0,,
2019-12-22,0.0,0.0,,
2019-12-23,700.0,29879.5,42.685,1.0
2019-12-24,0.0,0.0,,
2019-12-25,0.0,0.0,,
2019-12-26,0.0,0.0,,
2019-12-27,789.0,30445.0,39.05428571428571,1.0
2019-12-28,0.0,0.0,,
2019-12-29,0.0,0.0,,
2019-12-30,3147.0,133018.71,44.30785714285714,1.0
2019-12-31,0.0,0.0,,
2020-01-01,650.0,24327.1,33.92333333333333,1.0
2020-01-02,250.0,7872.5,31.565,1.0
2020-01-03,-1700.0,-16338.96,9.334193548387097,1.0
2020-01-04,0.0,0.0,,
2020-01-05,145.0,4106.4,28.32,1.0
2020-01-06,0.0,0.0,,
2020-01-07,497.0,54031.54,32.6340625,1.0
2020-01-08,0.0,0.0,,
2020-01-09,-999.0,-19631.239999999998,18.697857142857142,1.0
2020-01-10,2891.0,170967.3,64.47359999999999,1.0
2020-01-11,0.0,0.0,,
