Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00000701,2015-05-17T22:30:00Z,2015-05-17T23:00:00Z,1840,63.6,117024,T
ES00000702,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,1840,63.6,117024,T
ES00000703,2015-05-30T22:00:00Z,2015-05-31T07:00:00Z,2070,63.6,131652,T
ES00000704,2015-05-20T22:30:00Z,2015-05-20T23:00:00Z,1840,63.6,117024,T
ES00000705,2015-05-30T22:00:00Z,2015-05-31T07:00:00Z,2070,63.6,131652,T
ES00000706,2015-05-17T22:00:00Z,2015-05-18T07:00:00Z,1971,72,141912,T
ES00000707,2015-08-09T12:00:00Z,2015-08-09T16:00:00Z,-120,17.56,-2107.2,T
ES00000708,2015-08-08T22:00:00Z,2015-08-09T08:00:00Z,-2800,16,-44800,T
ES00000709,2015-08-10T22:00:00Z,2015-08-11T05:00:00Z,-175,22.19,-3883.25,T
ES00000710,2015-08-10T21:00:00Z,2015-08-11T09:00:00Z,-360,-65.62,23623.2,T
ES00000711,2015-08-11T22:00:00Z,2015-08-12T05:00:00Z,-700,18.39,-12873,T
ES00000712,2015-08-14T05:00:00Z,2015-08-14T06:00:00Z,300,36.5,10950,F
ES00000713,2015-08-14T06:00:00Z,2015-08-14T07:00:00Z,300,41.09,12327,F
ES00000714,2015-08-14T16:00:00Z,2015-08-14T17:00:00Z,300,51.52,15456,F
ES00000715,2015-08-14T17:00:00Z,2015-08-14T18:00:00Z,300,49.16,14748,F
ES00000716,2015-08-13T22:00:00Z,2015-08-14T05:00:00Z,-840,14.29,-12003.6,T
ES00000717,2015-08-15T22:00:00Z,2015-08-16T08:00:00Z,-250,22.13,-5532.5,F
ES00000718,2015-08-16T22:30:00Z,2015-08-16T23:00:00Z,-3200,18.55,-59360,T
ES00000719,2015-08-16T22:30:00Z,2015-08-16T23:00:00Z,-1920,23.15,-44448,T
ES00000720,2015-08-19T22:00:00Z,2015-08-20T05:00:00Z,-1400,16.66,-23324,T
ES00000721,2015-08-19T22:00:00Z,2015-08-20T05:00:00Z,-700,22.31,-15617,T
ES00000722,2015-08-20T22:30:00Z,2015-08-20T23:00:00Z,4000,33,132000,F
ES00000723,2015-08-21T22:00:00Z,2015-08-22T07:00:00Z,-3420,21.44,-73324.8,T
ES00000724,2015-08-21T22:00:00Z,2015-08-22T07:00:00Z,-1710,23.26,-39774.6,T
ES00000725,2015-05-17T22:00:00Z,2015-05-18T07:00:00Z,1971,72,141912,T
ES00000726,2015-05-15T22:30:00Z,2015-05-15T23:00:00Z,-960,14.92,-14323.2,T
ES00000727,2015-05-15T22:30:00Z,2015-05-15T23:00:00Z,-2000,10,-20000,F
ES00000728,2015-05-16T22:00:00Z,2015-05-17T08:00:00Z,-2500,7.04,-17600,T
ES00000729,2015-05-16T22:00:00Z,2015-05-17T08:00:00Z,-1250,18.93,-23662.5,T
ES00000730,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,200,38.25,7650,F
ES00000731,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,300,38.25,11475,F
ES00000732,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,4000,44.75,179000,F
ES00000733,2015-05-19T15:00:00Z,2015-05-19T16:00:00Z,250,47.02,11755,F
ES00000734,2015-05-19T16:00:00Z,2015-05-19T17:00:00Z,250,53.77,13442.5,F
ES00000735,2015-05-19T17:00:00Z,2015-05-19T18:00:00Z,250,52.03,13007.5,F
ES00000736,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,-400,14.04,-5616,F
ES00000737,2015-05-18T22:00:00Z,2015-05-19T05:00:00Z,-350,21.06,-7371,T
ES00000738,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,-2000,13.05,-26100,F
ES00000739,2015-05-20T10:00:00Z,2015-05-20T11:00:00Z,500,42.97,21485,F
ES00000740,2015-05-20T11:00:00Z,2015-05-20T12:00:00Z,500,43.02,21510,F
ES00000741,2015-05-20T12:00:00Z,2015-05-20T13:00:00Z,500,40.09,20045,F
ES00000742,2015-05-20T22:00:00Z,2015-05-20T23:00:00Z,300,42.62,12786,F
ES00000743,2015-05-20T23:00:00Z,2015-05-21T00:00:00Z,300,37.74,11322,F
ES00000744,2015-05-21T00:00:00Z,2015-05-21T01:00:00Z,300,38.2,11460,F
ES00000745,2015-08-22T12:00:00Z,2015-08-22T16:00:00Z,-320,19.36,-6195.2,T
ES00000746,2015-08-23T09:00:00Z,2015-08-24T09:00:00Z,-456,-77.01,35116.56,T
ES00000747,2015-08-23T22:30:00Z,2015-08-23T23:00:00Z,-4000,16.64,-66560,T
ES00000748,2015-08-23T22:30:00Z,2015-08-23T23:00:00Z,-2000,25.84,-51680,T
ES00000749,2015-08-24T22:00:00Z,2015-08-25T05:00:00Z,-175,21.19,-3708.25,F
ES00000750,2015-08-24T22:30:00Z,2015-08-24T23:00:00Z,1752,76,133152,T
ES00000751,2015-08-24T22:00:00Z,2015-08-25T05:00:00Z,-420,9,-3780,T
ES00000752,2015-08-26T22:30:00Z,2015-08-26T23:00:00Z,-200,22.44,-4488,F
ES00000753,2015-08-26T23:00:00Z,2015-08-27T05:00:00Z,1314,91,119574,T
ES00000754,2015-08-27T22:30:00Z,2015-08-27T23:00:00Z,-3200,24.65,-78880,T
ES00000755,2015-08-29T05:00:00Z,2015-08-29T06:00:00Z,300,33.93,10179,F
ES00000756,2015-08-28T22:00:00Z,2015-08-29T07:00:00Z,-4500,22.52,-101340,T
ES00000757,2015-08-28T22:00:00Z,2015-08-29T07:00:00Z,-2250,26.37,-59332.5,T
ES00000758,2015-08-31T12:00:00Z,2015-08-31T16:00:00Z,-120,35.95,-4314,T
ES00000759,2015-08-31T22:30:00Z,2015-08-31T23:00:00Z,-3200,23.82,-76224,T
ES00000760,2015-08-31T22:30:00Z,2015-08-31T23:00:00Z,-1600,27.12,-43392,T
ES00000761,2015-09-03T23:00:00Z,2015-09-04T00:00:00Z,300,34.91,10473,F
ES00000762,2015-09-04T00:00:00Z,2015-09-04T01:00:00Z,300,33.9,10170,F
ES00000763,2015-05-11T21:00:00Z,2015-05-11T22:00:00Z,500,25.3,12650,F
ES00000764,2015-05-09T22:30:00Z,2015-05-09T23:00:00Z,-64,-72,4608,T
ES00000765,2015-05-11T22:30:00Z,2015-05-11T23:00:00Z,1560,81.2,126672,T
ES00000766,2015-05-11T22:30:00Z,2015-05-11T23:00:00Z,1560,81.2,126672,T
ES00000767,2015-05-11T22:00:00Z,2015-05-12T05:00:00Z,-700,14.71,-10297,T
ES00000768,2015-05-12T11:00:00Z,2015-05-13T02:00:00Z,-480,-72,34560,T
ES00000769,2015-05-12T11:00:00Z,2015-05-13T02:00:00Z,-480,-85,40800,T
ES00000770,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,1600,47.2,75520,F
ES00000771,2015-05-13T14:00:00Z,2015-05-13T15:00:00Z,200,39.09,7818,F
ES00000772,2015-05-13T15:00:00Z,2015-05-13T16:00:00Z,200,53.01,10602,F
ES00000773,2015-05-13T16:00:00Z,2015-05-13T17:00:00Z,200,56.03,11206,F
ES00000774,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,-100,-85,8500,T
ES00000775,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,1752,79,138408,T
ES00000776,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,1584,79,125136,T
ES00000777,2015-05-14T02:00:00Z,2015-05-14T05:00:00Z,-1500,7.5,-11250,F
ES00000778,2015-05-15T04:00:00Z,2015-05-15T05:00:00Z,500,34.96,17480,F
ES00000779,2015-05-15T05:00:00Z,2015-05-15T06:00:00Z,500,39.58,19790,F
ES00000780,2015-05-21T22:30:00Z,2015-05-21T23:00:00Z,1840,63.6,117024,T
ES00000781,2015-05-22T22:00:00Z,2015-05-23T07:00:00Z,2070,63.6,131652,T
ES00000782,2015-05-22T22:00:00Z,2015-05-23T07:00:00Z,2070,63.6,131652,T
ES00000783,2015-05-21T05:00:00Z,2015-05-21T06:00:00Z,-125,20.16,-2520,T
ES00000784,2015-05-20T22:30:00Z,2015-05-20T23:00:00Z,1752,71,124392,T
ES00000785,2015-05-20T22:30:00Z,2015-05-20T23:00:00Z,1752,71,124392,T
ES00000786,2015-05-25T22:30:00Z,2015-05-25T23:00:00Z,1752,71,124392,T
ES00000787,2015-05-25T22:30:00Z,2015-05-25T23:00:00Z,1752,71,124392,T
ES00000788,2015-05-21T22:00:00Z,2015-05-22T05:00:00Z,-980,18.61,-18237.8,T
ES00000789,2015-05-23T22:00:00Z,2015-05-24T07:00:00Z,-3600,12.53,-45108,T
ES00000790,2015-05-23T22:00:00Z,2015-05-24T04:00:00Z,-300,13.37,-4011,T
ES00000791,2015-05-23T22:30:00Z,2015-05-23T23:00:00Z,-150,10.4,-1560,T
ES00000792,2015-05-27T04:00:00Z,2015-05-27T05:00:00Z,-100,12.5,-1250,T
ES00000793,2015-05-27T05:00:00Z,2015-05-27T06:00:00Z,-75,12.5,-937.5,T
ES00000794,2015-05-27T22:30:00Z,2015-05-27T23:00:00Z,4000,44.2,176800,F
ES00000795,2015-05-28T22:30:00Z,2015-05-28T23:00:00Z,400,45,18000,F
ES00000796,2015-05-28T22:30:00Z,2015-05-28T23:00:00Z,800,45,36000,F
ES00000797,2015-05-31T22:30:00Z,2015-05-31T23:00:00Z,6000,40.8,244800,F
ES00000798,2015-05-31T22:30:00Z,2015-05-31T23:00:00Z,6000,40.8,244800,F
ES00000799,2015-05-29T22:30:00Z,2015-05-29T23:00:00Z,2240,70,156800,T
ES00000800,2015-05-30T02:00:00Z,2015-05-30T05:00:00Z,-1050,9.2,-9660,F
ES00000801,2015-09-04T01:00:00Z,2015-09-04T02:00:00Z,300,33.38,10014,F
ES00000802,2015-09-04T11:00:00Z,2015-09-04T12:00:00Z,300,45.04,13512,F
ES00000803,2015-09-04T12:00:00Z,2015-09-04T13:00:00Z,300,41,12300,F
ES00000804,2015-09-03T22:00:00Z,2015-09-04T05:00:00Z,-2380,22.19,-52812.2,T
ES00000805,2015-09-03T22:00:00Z,2015-09-04T05:00:00Z,-1190,25.43,-30261.7,T
ES00000806,2015-09-03T22:00:00Z,2015-09-04T05:00:00Z,-175,25.43,-4450.25,F
ES00000807,2015-09-05T12:00:00Z,2015-09-05T16:00:00Z,-120,19,-2280,T
ES00000808,2015-09-05T22:00:00Z,2015-09-06T08:00:00Z,-4000,8.89,-35560,T
ES00000809,2015-09-05T22:00:00Z,2015-09-06T08:00:00Z,-2000,22.54,-45080,T
ES00000810,2015-09-08T22:00:00Z,2015-09-09T05:00:00Z,-490,17.25,-8452.5,T
ES00000811,2015-09-08T22:00:00Z,2015-09-09T05:00:00Z,-245,17.5,-4287.5,T
ES00000812,2015-09-08T22:00:00Z,2015-09-09T05:00:00Z,-175,17.5,-3062.5,F
ES00000813,2015-09-10T22:30:00Z,2015-09-10T23:00:00Z,6000,40.8,244800,F
ES00000814,2015-09-10T22:30:00Z,2015-09-10T23:00:00Z,6000,40.8,244800,F
ES00000815,2015-09-10T22:00:00Z,2015-09-11T05:00:00Z,-1400,20.09,-28126,T
ES00000816,2015-09-11T22:00:00Z,2015-09-12T07:00:00Z,-3960,21.34,-84506.4,T
ES00000817,2015-05-30T12:00:00Z,2015-05-30T16:00:00Z,-320,9.2,-2944,T
